demand balances by crop commodity
"Reference,date=2020-19-1T07:20:28-08:00",Africa_Eastern,regional oilcrop,NonFoodDemand_Crops,0.360579,1.13907,1.04321,1.17866,1.3206,1.46462,1.60862,1.75032,1.88723,2.01704,2.13765,2.24809,2.34777,2.43667,2.51501,2.58269,2.63868,2.68297,2.71564,2.73813,2.75079,Mt,
"Reference,date=2020-19-1T07:20:28-08:00",Africa_Eastern,regional oilcrop,regional biomassOil,0.0,0.0,0.0,5.22506E-4,5.86083E-4,7.7017E-4,0.00106414,0.0013009,0.00144591,0.00144127,0.00135303,0.00124959,0.00110851,9.68446E-4,8.56105E-4,8.00015E-4,8.09641E-4,8.97123E-4,0.00106392,0.00131007,0.0016441,Mt,
"Reference,date=2020-19-1T07:20:28-08:00",Africa_Eastern,regional othergrain,FeedCrops,0.0896319,0.155706,0.265037,0.292027,0.340083,0.392756,0.448323,0.533491,0.630031,0.735193,0.847248,0.86724,0.885695,0.901197,0.917123,0.932307,0.944876,0.955354,0.964038,0.971418,0.977454,Mt,
"Reference,date=2020-19-1T07:20:28-08:00",Africa_Eastern,regional othergrain,FoodDemand_Crops,6.445,9.39356,10.4205,12.0431,13.8046,15.7063,17.6811,19.6131,21.5519,23.4649,25.327,26.5939,27.739,28.7662,29.6749,30.4652,31.1205,31.6463,32.0429,32.3238,32.4922,Mt,
"Reference,date=2020-19-1T07:20:28-08:00",Africa_Eastern,regional othergrain,NonFoodDemand_Crops,1.6493,4.01259,4.49652,5.08033,5.69212,6.31292,6.9336,7.54433,8.13445,8.69398,9.21386,9.68988,10.1195,10.5027,10.8404,11.1321,11.3734,11.5643,11.7051,11.8021,11.8567,Mt,
"Reference,date=2020-19-1T07:20:28-08:00",Africa_Eastern,regional palmfruit,FeedCrops,0.0025045,0.0033609,0.006427,0.00725613,0.00898161,0.0111743,0.0140562,0.0188373,0.0251002,0.0334641,0.0442194,0.0497391,0.0553784,0.06124,0.0672785,0.0733285,0.079285,0.084694,0.0894189,0.0934856,0.0967512,Mt,
"Reference,date=2020-19-1T07:20:28-08:00",Africa_Eastern,regional palmfruit,FoodDemand_Crops,0.233877,0.37975,0.640502,0.740234,0.848507,0.965401,1.08678,1.20553,1.3247,1.44229,1.55674,1.63461,1.705,1.76814,1.82399,1.87257,1.91284,1.94516,1.96954,1.98681,1.99715,Mt,
"Reference,date=2020-19-1T07:20:28-08:00",Africa_Eastern,regional palmfruit,NonFoodDemand_Crops,0.184048,0.481371,0.668848,0.755688,0.846691,0.939034,1.03136,1.1222,1.20998,1.29321,1.37054,1.44135,1.50525,1.56226,1.61248,1.65587,1.69177,1.72017,1.74111,1.75554,1.76365,Mt,
"Reference,date=2020-19-1T07:20:28-08:00",Africa_Eastern,regional rice,FeedCrops,0.0998472,0.0929414,0.517144,0.583094,0.696251,0.828348,0.978352,1.19455,1.41775,1.68786,2.00087,2.10735,2.20178,2.28619,2.36487,2.44116,2.51585,2.58313,2.64365,2.69809,2.74593,Mt,
"Reference,date=2020-19-1T07:20:28-08:00",Africa_Eastern,regional rice,FoodDemand_Crops,2.09876,3.7218,4.63521,5.35695,6.1405,6.98645,7.86485,8.72423,9.58667,10.4376,11.2659,11.8294,12.3388,12.7957,13.1999,13.5514,13.8429,14.0768,14.2532,14.3782,14.4531,Mt,
"Reference,date=2020-19-1T07:20:28-08:00",Africa_Eastern,regional rice,NonFoodDemand_Crops,0.632997,0.87395,0.999397,1.12915,1.26513,1.40311,1.54106,1.6768,1.80796,1.93232,2.04787,2.15367,2.24916,2.33434,2.40938,2.47422,2.52785,2.57029,2.60158,2.62313,2.63526,Mt,
"Reference,date=2020-19-1T07:20:28-08:00",Africa_Eastern,regional root_tuber,FeedCrops,0.434514,0.932393,0.481605,0.559837,0.699862,0.877357,1.09588,1.39706,1.74775,2.1588,2.60431,2.90283,3.15825,3.35564,3.51038,3.61986,3.70186,3.73093,3.71932,3.67888,3.61681,Mt,
"Reference,date=2020-19-1T07:20:28-08:00",Africa_Eastern,regional root_tuber,FoodDemand_Crops,11.8349,19.4787,21.2134,24.5165,28.1025,31.974,35.9941,39.9271,43.8741,47.7685,51.5592,54.1381,56.4694,58.5606,60.4103,62.0192,63.3531,64.4236,65.2309,65.8029,66.1456,Mt,
"Reference,date=2020-19-1T07:20:28-08:00",Africa_Eastern,regional root_tuber,NonFoodDemand_Crops,4.24909,6.21113,6.39693,7.22747,8.09783,8.98101,9.86401,10.7329,11.5724,12.3684,13.108,13.7852,14.3964,14.9416,15.4219,15.8369,16.1802,16.4518,16.6522,16.7901,16.8677,Mt,
"Reference,date=2020-19-1T07:20:28-08:00",Africa_Eastern,regional sugarcrop,FeedCrops,0.0674388,0.139769,0.404544,0.452426,0.539175,0.643294,0.770991,0.970724,1.2174,1.50106,1.82136,1.97538,2.10022,2.21955,2.32069,2.40409,2.46924,2.50807,2.52198,2.5116,2.47752,Mt,
"Reference,date=2020-19-1T07:20:28-08:00",Africa_Eastern,regional sugarcrop,FoodDemand_Crops,2.01065,3.46508,4.42524,5.11429,5.86235,6.66997,7.50858,8.32903,9.1524,9.96479,10.7555,11.2935,11.7799,12.2161,12.6019,12.9376,13.2158,13.4391,13.6075,13.7269,13.7984,Mt,
"Reference,date=2020-19-1T07:20:28-08:00",Africa_Eastern,regional sugarcrop,NonFoodDemand_Crops,12.325,17.5919,18.8197,21.2631,23.8237,26.422,29.0198,31.5759,34.0458,36.3876,38.5636,40.5559,42.354,43.9579,45.3711,46.5921,47.6021,48.4011,48.9904,49.3963,49.6247,Mt,
"Reference,date=2020-19-1T07:20:28-08:00",Africa_Eastern,regional wheat,FeedCrops,0.0106886,0.0401202,0.0877613,0.10712,0.137453,0.176717,0.22796,0.285677,0.354105,0.43587,0.530001,0.598511,0.665875,0.73032,0.791084,0.846828,0.893144,0.933006,0.96729,0.996586,1.02167,Mt,
"Reference,date=2020-19-1T07:20:28-08:00",Africa_Eastern,regional wheat,FoodDemand_Crops,2.96428,5.31477,6.35949,7.34971,8.42474,9.58537,10.7905,11.9696,13.1529,14.3203,15.4567,16.2299,16.9288,17.5557,18.1102,18.5925,18.9924,19.3133,19.5553,19.7268,19.8295,Mt,
"Reference,date=2020-19-1T07:20:28-08:00",Africa_Eastern,regional wheat,NonFoodDemand_Crops,0.297141,1.07585,2.54866,2.87956,3.22633,3.5782,3.93001,4.27618,4.61066,4.9278,5.22247,5.49228,5.7358,5.95301,6.14438,6.30974,6.44652,6.55473,6.63454,6.6895,6.72043,Mt,
"Reference,date=2020-19-1T07:20:28-08:00",Africa_Northern,FodderGrass,Pasture_FodderGrass,7.0318,7.48,7.74,8.40015,9.25028,10.1315,10.9713,11.8657,12.7268,13.5527,14.3158,14.5049,14.6369,14.7253,14.7867,14.7836,14.73,14.6402,14.5256,14.3848,14.2222,Mt,
"Reference,date=2020-19-1T07:20:28-08:00",Africa_Northern,FodderHerb,FodderHerb_Residue,11.436,17.6642,21.4722,23.6972,26.7822,30.0599,33.2283,36.7847,40.3132,43.7862,47.0323,47.8554,48.3542,48.5364,48.4375,48.1013,47.6266,47.0285,46.3536,45.5994,44.7899,Mt,
